Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
01,06:10,07:45,12:30,15:20,17:45,19:15
02,06:10,07:45,12:30,15:21,17:46,19:16
03,06:09,07:44,12:30,15:22,17:47,19:17
04,06:09,07:44,12:31,15:23,17:48,19:18
05,06:08,07:43,12:31,15:24,17:49,19:19
06,06:08,07:43,12:31,15:25,17:50,19:20
07,06:07,07:42,12:32,15:26,17:51,19:21
08,06:07,07:42,12:32,15:27,17:52,19:22
09,06:06,07:41,12:32,15:28,17:53,19:23
10,06:06,07:41,12:33,15:29,17:54,19:24
11,06:05,07:40,12:33,15:30,17:55,19:25
12,06:05,07:40,12:33,15:31,17:56,19:26
13,06:04,07:39,12:34,15:32,17:57,19:27
14,06:04,07:39,12:34,15:33,17:58,19:28
15,06:03,07:38,12:34,15:34,17:59,19:29
16,06:03,07:38,12:35,15:35,18:00,19:30
17,06:02,07:37,12:35,15:36,18:01,19:31
18,06:02,07:37,12:35,15:37,18:02,19:32
19,06:01,07:36,12:36,15:38,18:03,19:33
20,06:01,07:36,12:36,15:39,18:04,19:34
21,06:00,07:35,12:36,15:40,18:05,19:35
22,06:00,07:35,12:37,15:41,18:06,19:36
23,05:59,07:34,12:37,15:42,18:07,19:37
24,05:59,07:34,12:37,15:43,18:08,19:38
25,05:58,07:33,12:38,15:44,18:09,19:39
26,05:58,07:33,12:38,15:45,18:10,19:40
27,05:57,07:32,12:38,15:46,18:11,19:41
28,05:57,07:32,12:39,15:47,18:12,19:42
29,05:56,07:31,12:39,15:48,18:13,19:43
30,05:56,07:31,12:39,15:49,18:14,19:44
31,05:55,07:30,12:40,15:50,18:15,19:45
